Filter By Length,Label,Kata,TF-IDF
"halo,paket,resi,nyangkut,terang,delivery,tunda,operasional,same",negatif,"['halo', 'paket', 'resi', 'nyangkut', 'terang', 'delivery', 'tunda', 'operasional', 'same']","{'halo': 1, 'paket': 1, 'resi': 1, 'nyangkut': 1, 'terang': 1, 'delivery': 1, 'tunda': 1, 'operasional': 1, 'same': 1}"
"gabisa,gabisa",negatif,"['gabisa', 'gabisa']",{'gabisa': 2}
"ekspedisi,order,sameday",negatif,"['ekspedisi', 'order', 'sameday']","{'ekspedisi': 1, 'order': 1, 'sameday': 1}"
"bobrok,asli,mending,tutup,gajelas,bgtpaket,ngestuck,situ,ajatlp,call,center,gabisadi,bales,botemail,dibalesini,karyawan,kurir,kerja,situtup,mendingkalo,ganiat,fakyu",negatif,"['bobrok', 'asli', 'mending', 'tutup', 'gajelas', 'bgtpaket', 'ngestuck', 'situ', 'ajatlp', 'call', 'center', 'gabisadi', 'bales', 'botemail', 'dibalesini', 'karyawan', 'kurir', 'kerja', 'situtup', 'mendingkalo', 'ganiat', 'fakyu']","{'bobrok': 1, 'asli': 1, 'mending': 1, 'tutup': 1, 'gajelas': 1, 'bgtpaket': 1, 'ngestuck': 1, 'situ': 1, 'ajatlp': 1, 'call': 1, 'center': 1, 'gabisadi': 1, 'bales': 1, 'botemail': 1, 'dibalesini': 1, 'karyawan': 1, 'kurir': 1, 'kerja': 1, 'situtup': 1, 'mendingkalo': 1, 'ganiat': 1, 'fakyu': 1}"
"niat,nganter,paket,langgan,nggak,gila,jakarta,minggu,kaga,kirim,amatir,jasa,kirim,mending,tutup,jasa,kirim",negatif,"['niat', 'nganter', 'paket', 'langgan', 'nggak', 'gila', 'jakarta', 'minggu', 'kaga', 'kirim', 'amatir', 'jasa', 'kirim', 'mending', 'tutup', 'jasa', 'kirim']","{'niat': 1, 'nganter': 1, 'paket': 1, 'langgan': 1, 'nggak': 1, 'gila': 1, 'jakarta': 1, 'minggu': 1, 'kaga': 1, 'kirim': 3, 'amatir': 1, 'jasa': 2, 'mending': 1, 'tutup': 1}"
"chat,laku,investigasi,banget,investigasi,sampe,pagi,posisi,stuck,jakut,kecewa",negatif,"['chat', 'laku', 'investigasi', 'banget', 'investigasi', 'sampe', 'pagi', 'posisi', 'stuck', 'jakut', 'kecewa']","{'chat': 1, 'laku': 1, 'investigasi': 2, 'banget': 1, 'sampe': 1, 'pagi': 1, 'posisi': 1, 'stuck': 1, 'jakut': 1, 'kecewa': 1}"
"haloooo,kecewa,paket,pesan,ekspedisi,beda,udah,kali,please,tolong,jakarta,timur",negatif,"['haloooo', 'kecewa', 'paket', 'pesan', 'ekspedisi', 'beda', 'udah', 'kali', 'please', 'tolong', 'jakarta', 'timur']","{'haloooo': 1, 'kecewa': 1, 'paket': 1, 'pesan': 1, 'ekspedisi': 1, 'beda': 1, 'udah': 1, 'kali': 1, 'please': 1, 'tolong': 1, 'jakarta': 1, 'timur': 1}"
"pake,pikir,pikir,dehh,udah,pake,sameday,sampenya,besoklusa,anteraja,entaraja,maksud,ganti,nama,brandnya",negatif,"['pake', 'pikir', 'pikir', 'dehh', 'udah', 'pake', 'sameday', 'sampenya', 'besoklusa', 'anteraja', 'entaraja', 'maksud', 'ganti', 'nama', 'brandnya']","{'pake': 2, 'pikir': 2, 'dehh': 1, 'udah': 1, 'sameday': 1, 'sampenya': 1, 'besoklusa': 1, 'anteraja': 1, 'entaraja': 1, 'maksud': 1, 'ganti': 1, 'nama': 1, 'brandnya': 1}"
"sumpah,pdahal,sampe,kota,tuju,kirim,anter,kirim,jakut,tolol,abis",negatif,"['sumpah', 'pdahal', 'sampe', 'kota', 'tuju', 'kirim', 'anter', 'kirim', 'jakut', 'tolol', 'abis']","{'sumpah': 1, 'pdahal': 1, 'sampe': 1, 'kota': 1, 'tuju': 1, 'kirim': 2, 'anter': 1, 'jakut': 1, 'tolol': 1, 'abis': 1}"
"ngga,benah,ekspedisi,heran,cape,capek,kali,kecewa,layan,anter,jktdepok,minggu,nyampenya,tangerangjaktim,minggu,nyasar,lelet,ngawur,moga,barang,rusakhilang",negatif,"['ngga', 'benah', 'ekspedisi', 'heran', 'cape', 'capek', 'kali', 'kecewa', 'layan', 'anter', 'jktdepok', 'minggu', 'nyampenya', 'tangerangjaktim', 'minggu', 'nyasar', 'lelet', 'ngawur', 'moga', 'barang', 'rusakhilang']","{'ngga': 1, 'benah': 1, 'ekspedisi': 1, 'heran': 1, 'cape': 1, 'capek': 1, 'kali': 1, 'kecewa': 1, 'layan': 1, 'anter': 1, 'jktdepok': 1, 'minggu': 2, 'nyampenya': 1, 'tangerangjaktim': 1, 'nyasar': 1, 'lelet': 1, 'ngawur': 1, 'moga': 1, 'barang': 1, 'rusakhilang': 1}"
"sumpah,banget,kirim,tangerang,jakarta,selatan,muter,solusi,suruh,nunggu,puasa,bikin,kesel",negatif,"['sumpah', 'banget', 'kirim', 'tangerang', 'jakarta', 'selatan', 'muter', 'solusi', 'suruh', 'nunggu', 'puasa', 'bikin', 'kesel']","{'sumpah': 1, 'banget': 1, 'kirim': 1, 'tangerang': 1, 'jakarta': 1, 'selatan': 1, 'muter': 1, 'solusi': 1, 'suruh': 1, 'nunggu': 1, 'puasa': 1, 'bikin': 1, 'kesel': 1}"
"sampe,skrg,sampe,bandungjkt,udah,delivery,tunda,operasional,kalo,tutup,woiii,bener,ngaco,ekspedisi",negatif,"['sampe', 'skrg', 'sampe', 'bandungjkt', 'udah', 'delivery', 'tunda', 'operasional', 'kalo', 'tutup', 'woiii', 'bener', 'ngaco', 'ekspedisi']","{'sampe': 2, 'skrg': 1, 'bandungjkt': 1, 'udah': 1, 'delivery': 1, 'tunda': 1, 'operasional': 1, 'kalo': 1, 'tutup': 1, 'woiii': 1, 'bener': 1, 'ngaco': 1, 'ekspedisi': 1}"
"bener,bener,paket,nyampe,udah,buka,label,robek",negatif,"['bener', 'bener', 'paket', 'nyampe', 'udah', 'buka', 'label', 'robek']","{'bener': 2, 'paket': 1, 'nyampe': 1, 'udah': 1, 'buka': 1, 'label': 1, 'robek': 1}"
"suka,pake,anteraja,kirim,cepet,skrng,kecewa,sampe,pagi,status,ekspedisi,kirim,sampe",negatif,"['suka', 'pake', 'anteraja', 'kirim', 'cepet', 'skrng', 'kecewa', 'sampe', 'pagi', 'status', 'ekspedisi', 'kirim', 'sampe']","{'suka': 1, 'pake': 1, 'anteraja': 1, 'kirim': 2, 'cepet': 1, 'skrng': 1, 'kecewa': 1, 'sampe': 2, 'pagi': 1, 'status': 1, 'ekspedisi': 1}"
"kali,super,ekspedisi,ekspedisi,bener,tanggung,alias,kabur,hilang,barang,akses,buah,hasil,claim,progress,enak,report",negatif,"['kali', 'super', 'ekspedisi', 'ekspedisi', 'bener', 'tanggung', 'alias', 'kabur', 'hilang', 'barang', 'akses', 'buah', 'hasil', 'claim', 'progress', 'enak', 'report']","{'kali': 1, 'super': 1, 'ekspedisi': 2, 'bener': 1, 'tanggung': 1, 'alias': 1, 'kabur': 1, 'hilang': 1, 'barang': 1, 'akses': 1, 'buah': 1, 'hasil': 1, 'claim': 1, 'progress': 1, 'enak': 1, 'report': 1}"
takut,negatif,['takut'],{'takut': 1}
"tolong,paket",negatif,"['tolong', 'paket']","{'tolong': 1, 'paket': 1}"
"sibuk,smua,ngelayangin,smua,komplain,paket,kaga,sampe,sampe,bangsat",negatif,"['sibuk', 'smua', 'ngelayangin', 'smua', 'komplain', 'paket', 'kaga', 'sampe', 'sampe', 'bangsat']","{'sibuk': 1, 'smua': 2, 'ngelayangin': 1, 'komplain': 1, 'paket': 1, 'kaga': 1, 'sampe': 2, 'bangsat': 1}"
"paket,status,aneh,senin,kirim,alamat,sampe,sampe,sedangakan,paket,sampe,coba",negatif,"['paket', 'status', 'aneh', 'senin', 'kirim', 'alamat', 'sampe', 'sampe', 'sedangakan', 'paket', 'sampe', 'coba']","{'paket': 2, 'status': 1, 'aneh': 1, 'senin': 1, 'kirim': 1, 'alamat': 1, 'sampe': 3, 'sedangakan': 1, 'coba': 1}"
"woooiiiii,paket,guee,minggu,nyampe,pdhal,jabar,nyampe,kota,tuju",negatif,"['woooiiiii', 'paket', 'guee', 'minggu', 'nyampe', 'pdhal', 'jabar', 'nyampe', 'kota', 'tuju']","{'woooiiiii': 1, 'paket': 1, 'guee': 1, 'minggu': 1, 'nyampe': 2, 'pdhal': 1, 'jabar': 1, 'kota': 1, 'tuju': 1}"
"kalo,sampe,keteter,demand,yakali,demand,eskalasi,nambah,karyawan,coba",negatif,"['kalo', 'sampe', 'keteter', 'demand', 'yakali', 'demand', 'eskalasi', 'nambah', 'karyawan', 'coba']","{'kalo': 1, 'sampe': 1, 'keteter': 1, 'demand': 2, 'yakali': 1, 'eskalasi': 1, 'nambah': 1, 'karyawan': 1, 'coba': 1}"
"bisabisanya,foto",negatif,"['bisabisanya', 'foto']","{'bisabisanya': 1, 'foto': 1}"
"template,basa,basi,busuk",negatif,"['template', 'basa', 'basi', 'busuk']","{'template': 1, 'basa': 1, 'basi': 1, 'busuk': 1}"
"kocak,udah,bener,jogja,tinggal,kirim,deket,roket,gilaa",negatif,"['kocak', 'udah', 'bener', 'jogja', 'tinggal', 'kirim', 'deket', 'roket', 'gilaa']","{'kocak': 1, 'udah': 1, 'bener': 1, 'jogja': 1, 'tinggal': 1, 'kirim': 1, 'deket': 1, 'roket': 1, 'gilaa': 1}"
"nyesel,plih,kurir,hrga,biar,senin,kirim,slasa,mangkrak,mangkrak",negatif,"['nyesel', 'plih', 'kurir', 'hrga', 'biar', 'senin', 'kirim', 'slasa', 'mangkrak', 'mangkrak']","{'nyesel': 1, 'plih': 1, 'kurir': 1, 'hrga': 1, 'biar': 1, 'senin': 1, 'kirim': 1, 'slasa': 1, 'mangkrak': 2}"
"aneh,banget,ekspedisi,anter,lawak,status,anter,rumah,kemarin,jakarta",negatif,"['aneh', 'banget', 'ekspedisi', 'anter', 'lawak', 'status', 'anter', 'rumah', 'kemarin', 'jakarta']","{'aneh': 1, 'banget': 1, 'ekspedisi': 1, 'anter': 2, 'lawak': 1, 'status': 1, 'rumah': 1, 'kemarin': 1, 'jakarta': 1}"
"resi,lambat,kali,stuck,gerak,posisi,tlong",negatif,"['resi', 'lambat', 'kali', 'stuck', 'gerak', 'posisi', 'tlong']","{'resi': 1, 'lambat': 1, 'kali': 1, 'stuck': 1, 'gerak': 1, 'posisi': 1, 'tlong': 1}"
"gaberessss,ekspedisi",negatif,"['gaberessss', 'ekspedisi']","{'gaberessss': 1, 'ekspedisi': 1}"
"bener,sampe,ngebalik",negatif,"['bener', 'sampe', 'ngebalik']","{'bener': 1, 'sampe': 1, 'ngebalik': 1}"
"takut,driver",negatif,"['takut', 'driver']","{'takut': 1, 'driver': 1}"
"bukti,bohong,publik,coba,bukti,bukti,kalo,kurir,udah,sampe,rumah,bukti,kalo,rumah",negatif,"['bukti', 'bohong', 'publik', 'coba', 'bukti', 'bukti', 'kalo', 'kurir', 'udah', 'sampe', 'rumah', 'bukti', 'kalo', 'rumah']","{'bukti': 4, 'bohong': 1, 'publik': 1, 'coba': 1, 'kalo': 2, 'kurir': 1, 'udah': 1, 'sampe': 1, 'rumah': 2}"
"hallo,pickup,pickup,coba,chat,respon,anteraja,nama",negatif,"['hallo', 'pickup', 'pickup', 'coba', 'chat', 'respon', 'anteraja', 'nama']","{'hallo': 1, 'pickup': 2, 'coba': 1, 'chat': 1, 'respon': 1, 'anteraja': 1, 'nama': 1}"
"halo,resi,stuck,kemarin,statusnyabisa,tolong,trimz",negatif,"['halo', 'resi', 'stuck', 'kemarin', 'statusnyabisa', 'tolong', 'trimz']","{'halo': 1, 'resi': 1, 'stuck': 1, 'kemarin': 1, 'statusnyabisa': 1, 'tolong': 1, 'trimz': 1}"
"paket,same,kemarin,tolong,resi,anteraja",negatif,"['paket', 'same', 'kemarin', 'tolong', 'resi', 'anteraja']","{'paket': 1, 'same': 1, 'kemarin': 1, 'tolong': 1, 'resi': 1, 'anteraja': 1}"
"kalo,ngerepotin,puasa,lancar",negatif,"['kalo', 'ngerepotin', 'puasa', 'lancar']","{'kalo': 1, 'ngerepotin': 1, 'puasa': 1, 'lancar': 1}"
"kebalikbalik,logika,puasa,hormat,puasa,puasa,makan,minum,kena,olah,olah,nafsu",negatif,"['kebalikbalik', 'logika', 'puasa', 'hormat', 'puasa', 'puasa', 'makan', 'minum', 'kena', 'olah', 'olah', 'nafsu']","{'kebalikbalik': 1, 'logika': 1, 'puasa': 3, 'hormat': 1, 'makan': 1, 'minum': 1, 'kena': 1, 'olah': 2, 'nafsu': 1}"
"estimasi,sampe,besok,stuck,ampun,anteraja",negatif,"['estimasi', 'sampe', 'besok', 'stuck', 'ampun', 'anteraja']","{'estimasi': 1, 'sampe': 1, 'besok': 1, 'stuck': 1, 'ampun': 1, 'anteraja': 1}"
"paket,gerak",negatif,"['paket', 'gerak']","{'paket': 1, 'gerak': 1}"
"check,minn",negatif,"['check', 'minn']","{'check': 1, 'minn': 1}"
"buruk,ekspedisi,barang,udah,pick,maksud,bohongin,tunggu,bilang,tanggung,sampe",negatif,"['buruk', 'ekspedisi', 'barang', 'udah', 'pick', 'maksud', 'bohongin', 'tunggu', 'bilang', 'tanggung', 'sampe']","{'buruk': 1, 'ekspedisi': 1, 'barang': 1, 'udah': 1, 'pick': 1, 'maksud': 1, 'bohongin': 1, 'tunggu': 1, 'bilang': 1, 'tanggung': 1, 'sampe': 1}"
"halo,paket,resi,nyangkut,terang,delivery,tunda,operasional,same",negatif,"['halo', 'paket', 'resi', 'nyangkut', 'terang', 'delivery', 'tunda', 'operasional', 'same']","{'halo': 1, 'paket': 1, 'resi': 1, 'nyangkut': 1, 'terang': 1, 'delivery': 1, 'tunda': 1, 'operasional': 1, 'same': 1}"
"order,sabtu,pick,sampe",negatif,"['order', 'sabtu', 'pick', 'sampe']","{'order': 1, 'sabtu': 1, 'pick': 1, 'sampe': 1}"
"gimana,paket,customer,hilang,cecer,rugi,udah,barang,ilang,cust,uang,ngga,dapet,uang,rugi",negatif,"['gimana', 'paket', 'customer', 'hilang', 'cecer', 'rugi', 'udah', 'barang', 'ilang', 'cust', 'uang', 'ngga', 'dapet', 'uang', 'rugi']","{'gimana': 1, 'paket': 1, 'customer': 1, 'hilang': 1, 'cecer': 1, 'rugi': 2, 'udah': 1, 'barang': 1, 'ilang': 1, 'cust': 1, 'uang': 2, 'ngga': 1, 'dapet': 1}"
"esok,kaga,gerak,gerak,molor,kurir,kudu,jemput,kantor,pake,anteraja",negatif,"['esok', 'kaga', 'gerak', 'gerak', 'molor', 'kurir', 'kudu', 'jemput', 'kantor', 'pake', 'anteraja']","{'esok': 1, 'kaga': 1, 'gerak': 2, 'molor': 1, 'kurir': 1, 'kudu': 1, 'jemput': 1, 'kantor': 1, 'pake': 1, 'anteraja': 1}"
"proses,cashout,saldo,refundaja,rekening",negatif,"['proses', 'cashout', 'saldo', 'refundaja', 'rekening']","{'proses': 1, 'cashout': 1, 'saldo': 1, 'refundaja': 1, 'rekening': 1}"
"ramadan,pastibagihadiah,baiknyaramadan,kuis,guys,moga,untung,amin",netral,"['ramadan', 'pastibagihadiah', 'baiknyaramadan', 'kuis', 'guys', 'moga', 'untung', 'amin']","{'ramadan': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1, 'kuis': 1, 'guys': 1, 'moga': 1, 'untung': 1, 'amin': 1}"
"ramadan,pastibagihadiah,baiknyaramadan",netral,"['ramadan', 'pastibagihadiah', 'baiknyaramadan']","{'ramadan': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1}"
"ramadan,pastibaguhadiah,baiknyaramadan",netral,"['ramadan', 'pastibaguhadiah', 'baiknyaramadan']","{'ramadan': 1, 'pastibaguhadiah': 1, 'baiknyaramadan': 1}"
kurir,netral,['kurir'],{'kurir': 1}
"jeje,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral,"['jeje', 'risau', 'kendala', 'paket', 'maja', 'bantu', 'move', 'akun', 'privasi', 'jaga', 'trims']","{'jeje': 1, 'risau': 1, 'kendala': 1, 'paket': 1, 'maja': 1, 'bantu': 1, 'move': 1, 'akun': 1, 'privasi': 1, 'jaga': 1, 'trims': 1}"
"hepizen,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral,"['hepizen', 'maaf', 'bikin', 'kakak', 'nyaman', 'layan', 'alih', 'kakak', 'akun', 'anterajacare', 'langsung', 'tindaklanjuti', 'kendala', 'happy', 'fasting', 'baiknyaramadan', 'mdas']","{'hepizen': 1, 'maaf': 1, 'bikin': 1, 'kakak': 2, 'nyaman': 1, 'layan': 1, 'alih': 1, 'akun': 1, 'anterajacare': 1, 'langsung': 1, 'tindaklanjuti': 1, 'kendala': 1, 'happy': 1, 'fasting': 1, 'baiknyaramadan': 1, 'mdas': 1}"
"foto,frey",netral,"['foto', 'frey']","{'foto': 1, 'frey': 1}"
mint,netral,['mint'],{'mint': 1}
"reflek,satpam,biar,takjil",netral,"['reflek', 'satpam', 'biar', 'takjil']","{'reflek': 1, 'satpam': 1, 'biar': 1, 'takjil': 1}"
"lucuuuu,nyaa",netral,"['lucuuuu', 'nyaa']","{'lucuuuu': 1, 'nyaa': 1}"
"celine,risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral,"['celine', 'risau', 'kendala', 'paket', 'maja', 'bantu', 'bisikin', 'resi', 'akun', 'privasi', 'jaga', 'trims']","{'celine': 1, 'risau': 1, 'kendala': 1, 'paket': 1, 'maja': 1, 'bantu': 1, 'bisikin': 1, 'resi': 1, 'akun': 1, 'privasi': 1, 'jaga': 1, 'trims': 1}"
"cemangat,tahan,lapar,haus,cigre",netral,"['cemangat', 'tahan', 'lapar', 'haus', 'cigre']","{'cemangat': 1, 'tahan': 1, 'lapar': 1, 'haus': 1, 'cigre': 1}"
waini,netral,['waini'],{'waini': 1}
"ultah,lohh,ucapin,dongg,hehehe",netral,"['ultah', 'lohh', 'ucapin', 'dongg', 'hehehe']","{'ultah': 1, 'lohh': 1, 'ucapin': 1, 'dongg': 1, 'hehehe': 1}"
semangat,netral,['semangat'],{'semangat': 1}
"garis,putih,lapang,sekolah",netral,"['garis', 'putih', 'lapang', 'sekolah']","{'garis': 1, 'putih': 1, 'lapang': 1, 'sekolah': 1}"
"shoot,flora",netral,"['shoot', 'flora']","{'shoot': 1, 'flora': 1}"
"nice,baiknyaramadhan",netral,"['nice', 'baiknyaramadhan']","{'nice': 1, 'baiknyaramadhan': 1}"
"wedehhh,siapp,matchaaa",netral,"['wedehhh', 'siapp', 'matchaaa']","{'wedehhh': 1, 'siapp': 1, 'matchaaa': 1}"
"selamat,buka,onielll",netral,"['selamat', 'buka', 'onielll']","{'selamat': 1, 'buka': 1, 'onielll': 1}"
"ramadhan,pastibagihadiah,baiknyaramadan",netral,"['ramadhan', 'pastibagihadiah', 'baiknyaramadan']","{'ramadhan': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1}"
"hepizen,risau,kendala,paket,maja,bantu,move,akun,privasi,jaga,trims",netral,"['hepizen', 'risau', 'kendala', 'paket', 'maja', 'bantu', 'move', 'akun', 'privasi', 'jaga', 'trims']","{'hepizen': 1, 'risau': 1, 'kendala': 1, 'paket': 1, 'maja': 1, 'bantu': 1, 'move': 1, 'akun': 1, 'privasi': 1, 'jaga': 1, 'trims': 1}"
"natha,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral,"['natha', 'maaf', 'bikin', 'kakak', 'nyaman', 'layan', 'alih', 'kakak', 'akun', 'anterajacare', 'langsung', 'tindaklanjuti', 'kendala', 'happy', 'fasting', 'baiknyaramadan', 'mdas']","{'natha': 1, 'maaf': 1, 'bikin': 1, 'kakak': 2, 'nyaman': 1, 'layan': 1, 'alih': 1, 'akun': 1, 'anterajacare': 1, 'langsung': 1, 'tindaklanjuti': 1, 'kendala': 1, 'happy': 1, 'fasting': 1, 'baiknyaramadan': 1, 'mdas': 1}"
"coba,sambungin,kalimat,gambar,lupa,pakein,hashtag,baiknyaramadan,hadiah,spesial,anteraja,reply,tarik,tunggu,yaaa,pastilebihbaik",netral,"['coba', 'sambungin', 'kalimat', 'gambar', 'lupa', 'pakein', 'hashtag', 'baiknyaramadan', 'hadiah', 'spesial', 'anteraja', 'reply', 'tarik', 'tunggu', 'yaaa', 'pastilebihbaik']","{'coba': 1, 'sambungin': 1, 'kalimat': 1, 'gambar': 1, 'lupa': 1, 'pakein': 1, 'hashtag': 1, 'baiknyaramadan': 1, 'hadiah': 1, 'spesial': 1, 'anteraja': 1, 'reply': 1, 'tarik': 1, 'tunggu': 1, 'yaaa': 1, 'pastilebihbaik': 1}"
"tunggu,naaaa",netral,"['tunggu', 'naaaa']","{'tunggu': 1, 'naaaa': 1}"
"gaada,nich",netral,"['gaada', 'nich']","{'gaada': 1, 'nich': 1}"
"gapapa,trial",netral,"['gapapa', 'trial']","{'gapapa': 1, 'trial': 1}"
"risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral,"['risau', 'kendala', 'paket', 'maja', 'bantu', 'bisikin', 'resi', 'akun', 'privasi', 'jaga', 'trims']","{'risau': 1, 'kendala': 1, 'paket': 1, 'maja': 1, 'bantu': 1, 'bisikin': 1, 'resi': 1, 'akun': 1, 'privasi': 1, 'jaga': 1, 'trims': 1}"
"buset,kitty",netral,"['buset', 'kitty']","{'buset': 1, 'kitty': 1}"
"bikenya,ramadan,alias,ramadan,pastibagihadiah,baiknyaramadan",netral,"['bikenya', 'ramadan', 'alias', 'ramadan', 'pastibagihadiah', 'baiknyaramadan']","{'bikenya': 1, 'ramadan': 2, 'alias': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1}"
syappppp,netral,['syappppp'],{'syappppp': 1}
"ramadan,pastibagihadiah,baiknyaramadan",netral,"['ramadan', 'pastibagihadiah', 'baiknyaramadan']","{'ramadan': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1}"
"ramadan,pastibagihadiah,baiknyaramadan",netral,"['ramadan', 'pastibagihadiah', 'baiknyaramadan']","{'ramadan': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1}"
"ramadan,pastibagihadiah,baiknyaramadan",netral,"['ramadan', 'pastibagihadiah', 'baiknyaramadan']","{'ramadan': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1}"
"ramadan,pastibagihadiah,baiknyaramadan",netral,"['ramadan', 'pastibagihadiah', 'baiknyaramadan']","{'ramadan': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1}"
uwuooggg,netral,['uwuooggg'],{'uwuooggg': 1}
"kerenn,freyana",netral,"['kerenn', 'freyana']","{'kerenn': 1, 'freyana': 1}"
"ramadan,pastibagihadiah,baiknyaramadan",netral,"['ramadan', 'pastibagihadiah', 'baiknyaramadan']","{'ramadan': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1}"
"ramadan,pastibagihadiah,baiknyaramadan",netral,"['ramadan', 'pastibagihadiah', 'baiknyaramadan']","{'ramadan': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1}"
"semangat,puasa,matcha",netral,"['semangat', 'puasa', 'matcha']","{'semangat': 1, 'puasa': 1, 'matcha': 1}"
buka,netral,['buka'],{'buka': 1}
"menu,buka,puasa",netral,"['menu', 'buka', 'puasa']","{'menu': 1, 'buka': 1, 'puasa': 1}"
"ramadan,pastibagihadiah,baiknyaramadan",netral,"['ramadan', 'pastibagihadiah', 'baiknyaramadan']","{'ramadan': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1}"
"ramadan,pastibagihadiah,baiknyaramadan",netral,"['ramadan', 'pastibagihadiah', 'baiknyaramadan']","{'ramadan': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1}"
timdibanguninemak,netral,['timdibanguninemak'],{'timdibanguninemak': 1}
sabarrr,netral,['sabarrr'],{'sabarrr': 1}
login,netral,['login'],{'login': 1}
shel,netral,['shel'],{'shel': 1}
"ayang,flora,cakep,betulll",netral,"['ayang', 'flora', 'cakep', 'betulll']","{'ayang': 1, 'flora': 1, 'cakep': 1, 'betulll': 1}"
"ramadan,pastibagihadiah,baiknyaramadan",netral,"['ramadan', 'pastibagihadiah', 'baiknyaramadan']","{'ramadan': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1}"
"agus,risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral,"['agus', 'risau', 'kendala', 'paket', 'maja', 'bantu', 'bisikin', 'resi', 'akun', 'privasi', 'jaga', 'trims']","{'agus': 1, 'risau': 1, 'kendala': 1, 'paket': 1, 'maja': 1, 'bantu': 1, 'bisikin': 1, 'resi': 1, 'akun': 1, 'privasi': 1, 'jaga': 1, 'trims': 1}"
photopack,netral,['photopack'],{'photopack': 1}
"rela,bolak,kornelia",netral,"['rela', 'bolak', 'kornelia']","{'rela': 1, 'bolak': 1, 'kornelia': 1}"
satpam,netral,['satpam'],{'satpam': 1}
menang,netral,['menang'],{'menang': 1}
"fureya,chan",netral,"['fureya', 'chan']","{'fureya': 1, 'chan': 1}"
puasa,netral,['puasa'],{'puasa': 1}
"okee,niel",netral,"['okee', 'niel']","{'okee': 1, 'niel': 1}"
"masya,allah",netral,"['masya', 'allah']","{'masya': 1, 'allah': 1}"
"hepizen,maaf,bikin,kakak,nyaman,layan,alih,kakak,akun,anterajacare,langsung,tindaklanjuti,kendala,happy,fasting,baiknyaramadan,mdas",netral,"['hepizen', 'maaf', 'bikin', 'kakak', 'nyaman', 'layan', 'alih', 'kakak', 'akun', 'anterajacare', 'langsung', 'tindaklanjuti', 'kendala', 'happy', 'fasting', 'baiknyaramadan', 'mdas']","{'hepizen': 1, 'maaf': 1, 'bikin': 1, 'kakak': 2, 'nyaman': 1, 'layan': 1, 'alih': 1, 'akun': 1, 'anterajacare': 1, 'langsung': 1, 'tindaklanjuti': 1, 'kendala': 1, 'happy': 1, 'fasting': 1, 'baiknyaramadan': 1, 'mdas': 1}"
"kilas,nadila,wkwkwk",netral,"['kilas', 'nadila', 'wkwkwk']","{'kilas': 1, 'nadila': 1, 'wkwkwk': 1}"
wkwk,netral,['wkwk'],{'wkwk': 1}
"cepet,sahur",netral,"['cepet', 'sahur']","{'cepet': 1, 'sahur': 1}"
"asiik,anterin,pketku,rumah",netral,"['asiik', 'anterin', 'pketku', 'rumah']","{'asiik': 1, 'anterin': 1, 'pketku': 1, 'rumah': 1}"
"semangat,jugaa,yaaa",netral,"['semangat', 'jugaa', 'yaaa']","{'semangat': 1, 'jugaa': 1, 'yaaa': 1}"
"yaudah,takjil,beliin",netral,"['yaudah', 'takjil', 'beliin']","{'yaudah': 1, 'takjil': 1, 'beliin': 1}"
congrats,netral,['congrats'],{'congrats': 1}
"ramadhan,pastibagihadiah,baiknyaramadan",netral,"['ramadhan', 'pastibagihadiah', 'baiknyaramadan']","{'ramadhan': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1}"
"risau,kendala,paket,maja,bantu,bisikin,resi,akun,privasi,jaga,trims",netral,"['risau', 'kendala', 'paket', 'maja', 'bantu', 'bisikin', 'resi', 'akun', 'privasi', 'jaga', 'trims']","{'risau': 1, 'kendala': 1, 'paket': 1, 'maja': 1, 'bantu': 1, 'bisikin': 1, 'resi': 1, 'akun': 1, 'privasi': 1, 'jaga': 1, 'trims': 1}"
